state_abbr,date
WA,2020-03-06
MI,2020-03-07
NY,2020-03-08
CA,2020-03-09
CO,2020-03-14
FL,2020-03-15
LA,2020-03-16
NJ,2020-03-16
GA,2020-03-16
IL,2020-03-17
MA,2020-03-17
PA,2020-03-18
WI,2020-03-18
MD,2020-03-19
TN,2020-03-19
OH,2020-03-19
TX,2020-03-19
OR,2020-03-20
NV,2020-03-20
VA,2020-03-20
NC,2020-03-20
MN,2020-03-20
UT,2020-03-20
CT,2020-03-20
MS,2020-03-21
AL,2020-03-21
AR,2020-03-21
SC,2020-03-21
IN,2020-03-21
AZ,2020-03-21
RI,2020-03-23
DC,2020-03-23
ME,2020-03-23
KY,2020-03-23
IA,2020-03-23
MO,2020-03-23
OK,2020-03-24
NH,2020-03-24
DE,2020-03-25
VT,2020-03-25
KS,2020-03-25
ID,2020-03-26
NM,2020-03-26
MT,2020-03-27
HI,2020-03-27
AK,2020-03-29
NE,2020-03-29
WV,2020-03-29
ND,2020-03-30
SD,2020-03-30
WY,2020-03-31
